merged_customers_cnt_home,merged_customers_cnt_day,dens_coef,nearest_mater,nearest_hosp,count_bus_stops
54,42,0.0029835902536051715,70.37419589643285,7.236071903856155,0
57,42,0.0031493452676943476,68.87943814959488,6.056672444554798,0
85,63,0.0046963920658599926,70.4305370795307,7.165198137515389,0
49,28,0.002707331896789878,67.39876559626309,5.232572634126257,0
59,48,0.003259848610420465,65.9090348142446,5.565580590577348,0
52,46,0.002873086910879054,64.77294074446468,6.335268986725096,0
192,154,0.010608320901707277,68.91916237743722,5.764538443601443,0
138,113,0.007624730648102105,70.14934671931547,6.89391060371602,0
166,138,0.00917177744626775,67.4211338771542,4.636233994750777,0
85,74,0.0046963920658599926,65.89967827181387,4.569447773918746,0
28,30,0.0015470467981656445,64.7403778422178,5.193297579946948,0
236,175,0.01303939444168186,68.97948335772597,5.709853401731875,0
98,84,0.005414663793579756,63.61508276819975,5.511829844031026,0
60,50,0.003315100281783524,62.068258751448425,7.346120756589369,0
60,48,0.003315100281783524,60.83439187515621,8.849794763413009,0
60,60,0.003315100281783524,59.626197156065295,10.429009283592045,0
112,87,0.006188187192662578,69.75449073333836,6.603646113557029,0
236,195,0.01303939444168186,67.46456059336673,4.293383146134187,0
152,132,0.008398254047184927,65.91185426103752,3.6883498551843488,0
68,62,0.003757113652687994,64.72882468127295,4.077036076879369,0
178,123,0.009834797502624455,68.37274682799323,5.126705867585016,0
55,43,0.00303884192496823,63.593036991001995,4.329002003258995,0
41,41,0.0022653185258854082,62.138905317006774,6.174154479925004,0
42,35,0.002320570197248467,60.89280725372586,7.707651577212245,0
29,25,0.0016022984695287033,59.65984826076458,9.316116241531708,0
67,54,0.0037018619813249352,69.70257314117337,6.77438454169637,2
195,161,0.010774075915796454,66.90677228887812,3.6547810459437087,0
158,119,0.008729764075363279,65.33931803871484,2.8913548079533338,0
47,33,0.0025968285540637604,64.27822824879523,3.1499985445289247,0
32,28,0.0017680534836178794,58.70542509751208,9.986285542705575,0
93,62,0.005138405436764462,72.37911705683817,10.401364918936185,0
198,137,0.01093983092988563,68.5207796801881,5.5148413304360355,1
30,29,0.001657550140891762,63.00483313372634,3.7703516344101153,0
