merged_customers_cnt_home,merged_customers_cnt_day,dens_coef,nearest_mater,nearest_hosp,count_bus_stops
6248,5918,0.10488853075476766,1.8840550355521029,1.32483313257453,14
11420,6240,0.19403948754545144,5.143127936035053,0.7163052085497147,12
9867,5468,0.12089393141134813,2.4244807742403984,0.6953035715901799,17
6669,8691,0.14529728316521057,2.588577070949443,0.26538377838099886,21
17709,11283,0.30730386797855175,4.990850995018486,0.39752033501923484,15
15237,8906,0.1667086073151785,5.054777044461245,0.44627727068459017,16
4248,4713,0.07131345688960515,1.8840550355521029,2.7231793020684454,16
18911,11425,0.18433390843251357,5.090780724000027,0.6903255569162493,25
11729,7046,0.18105896881753628,33.386107014989236,1.8631112086982684,8
5729,7689,0.10471577408152075,7.077831488450528,1.4273368606434347,7
9915,6638,0.08918051070795743,3.4582477374472647,1.0255085807522344,13
7328,6866,0.10952679879233551,2.588577070949443,1.704379141666777,10
7712,6156,0.11224474944328816,2.9672076732994004,0.7709634991055988,8
11899,7148,0.0924718481158249,2.4244807742403984,1.9162025146888746,17
10077,5348,0.13598272721138924,3.4712559969812173,0.08334316805865878,9
6847,6426,0.09965505698109363,2.9672076732994004,0.8773417035399119,20
20171,10449,0.37398027291604863,5.173857105509382,1.1371291741181577,15
3813,4461,0.08934554912482133,3.615379879993753,1.6249509429394147,7
10297,10336,0.23193008536612833,3.615379879993753,1.1959321095468434,11
13026,8333,0.16683957732949087,3.821108234908982,0.2255456666285972,18
15922,14876,0.31424793257939093,4.752476496238305,0.7928778815056581,24
7069,4592,0.12989948363623,4.990850995018486,1.2256187706214383,6
10802,8199,0.18118081180811807,5.486429685368879,0.2946305424020183,14
10755,17166,0.10062310542270124,4.752476496238305,0.2469147153646,9
